15,1.403,0.087688,0.087688,0,0,0,1,2,6,-1
14,1.3814,0.11491,0.11491,0,0,0,1,2,6,-1
13,0.96955,0.11491,0.11491,0,0,0,1,2,7,-1
12,1.4113,0.088206,0.088206,0,0,0,1,2,6,-1
11,0.75027,0.090549,0.087688,0,0,15,1,3,8,-1
10,1.0579,0.095432,0.090549,11,0,0,0,0,6,-1
9,1.2401,0.095432,0.095432,10,0,0,0,0,6,-1
8,0.78886,0.15321,0.11491,0,0,14,1,3,8,-1
7,0.76607,0.15321,0.11491,0,0,13,1,3,8,-1
6,1.9243,0.081408,0.07897,9,0,0,0,0,6,-1
5,2.5129,0.088206,0.088206,0,0,12,1,3,6,-1
4,3.1737,0.15321,0.15321,7,0,8,0,0,6,-1
3,3.4366,0.13684,0.10263,6,0,0,0,0,6,-1
2,1.9612,0.13684,0.10263,5,0,0,0,0,6,-1
1,0.75264,0.13684,0.10889,4,0,0,0,0,8,-1
0,0.83143,0.18476,0.13857,1,2,3,0,1,8,-1
