30,1.0718,0.06699,0.06699,0,0,0,1,2,6,-1
29,0.87214,0.054509,0.054509,0,0,0,1,2,7,-1
28,0.89288,0.055805,0.055805,0,0,0,1,2,7,-1
27,0.72104,0.045065,0.045065,0,0,0,1,2,9,-1
26,1.2106,0.075661,0.075661,0,0,0,1,2,5,-1
25,1.6505,0.10316,0.10316,0,0,0,1,2,4,-1
24,1.1312,0.070698,0.070698,0,0,0,1,2,6,-1
23,1.1253,0.070332,0.070332,0,0,0,1,2,6,-1
22,0.83197,0.051998,0.051998,0,0,0,1,2,8,-1
21,1.2455,0.077846,0.077846,0,0,0,1,2,5,-1
20,0.87373,0.054608,0.054608,0,0,0,1,2,7,-1
19,0.94675,0.081241,0.06699,0,0,30,1,3,7,-1
18,0.33605,0.081241,0.054509,0,0,29,1,3,18,-1
17,0.37934,0.081851,0.055805,0,0,28,1,3,16,-1
16,0.526,0.081851,0.081241,18,0,19,0,0,12,-1
15,0.42582,0.079832,0.081851,16,0,17,0,0,15,-1
14,0.31933,0.079832,0.045065,0,0,27,1,3,19,-1
13,1.5045,0.086339,0.075661,0,0,26,1,3,4,-1
12,0.79474,0.086339,0.10316,0,0,25,1,3,8,-1
11,3.6904,0.095432,0.079832,14,0,15,0,0,2,-1
10,2.1234,0.095432,0.070698,0,0,24,1,3,3,-1
9,0.63109,0.15321,0.086339,12,0,13,0,0,10,-1
8,1.8187,0.15321,0.070332,0,0,23,1,3,4,-1
7,2.2257,0.07897,0.051998,0,0,22,1,3,3,-1
6,1.2401,0.07897,0.095432,10,0,11,0,0,5,-1
5,3.1737,0.10889,0.15321,8,0,9,0,0,2,-1
4,3.5721,0.10889,0.077846,0,0,21,1,3,2,-1
3,5.3609,0.13684,0.07897,6,0,7,0,0,2,-1
2,5.4794,0.13684,0.054608,0,0,20,1,3,2,-1
1,0.54737,0.13684,0.10889,4,0,5,0,0,11,-1
0,0.73905,0.18476,0.13684,1,2,3,0,1,9,-1
