6	1.92	0.10	0.10	0	0	0	2	
5	2.00	0.10	0.10	0	0	0	2	
4	2.26	0.10	0.10	0	0	0	2	
3	5.46	0.10	0.10	0	0	6	3	
2	0.44	0.10	0.10	0	0	5	3	
1	5.36	0.10	0.10	0	0	4	3	
0	0.50	0.17	0.135	1	2	3	1	
