15 	1.2106 	0.0757 	0.0757 	0 	0 	0 	
14 	1.6505 	0.1032 	0.1032 	0 	0 	0 	
13 	1.1321 	0.1149 	0.1149 	0 	0 	0 	
12 	1.2455 	0.0817 	0.0817 	0 	0 	0 	
11 	1.1312 	0.1026 	0.1026 	0 	0 	0 	
10 	0.8737 	0.1026 	0.1026 	0 	0 	0 	
9 	1.5045 	0.0863 	0.0757 	0 	0 	15 	
8 	0.7947 	0.1032 	0.1032 	0 	0 	14 	
7 	0.7889 	0.1532 	0.1149 	8 	0 	9 	
6 	1.341 	0.1532 	0.1149 	0 	0 	13 	
5 	3.1737 	0.1532 	0.1532 	6 	0 	7 	
4 	3.5721 	0.1089 	0.0817 	0 	0 	12 	
3 	8.7244 	0.1368 	0.1026 	0 	0 	11 	
2 	5.4794 	0.1368 	0.1026 	0 	0 	10 	
1 	0.7526 	0.1368 	0.1089 	4 	0 	5 	
0 	0.8314 	0.1848 	0.1386 	1 	2 	3 	
