21, 1.92, 0.08, 0.08, 0, 0, 0, -1, -2
20, 4.38, 0.14, 0.14, 0, 0, 0, -1, -2
19, 2.72, 0.08, 0.08, 0, 0, 0, -1, -2
18, 2.74, 0.09, 0.09, 0, 0, 0, -1, -2
17, 1.92, 0.12, 0.12, 0, 0, 0, -1, -2
16, 1.92, 0.08399999999999999, 0.08399999999999999, 0, 0, 0, -1, -2
15, 2.0, 0.09, 0.09, 0, 0, 0, -1, -2
14, 2.26, 0.07, 0.07, 0, 0, 0, -1, -2
13, 1.5, 0.08, 0.08, 0, 0, 21, -1, -2
12, 0.79, 0.14, 0.14, 0, 0, 20, -1, -2
11, 4.12, 0.08, 0.08, 0, 0, 19, -1, -2
10, 2.19, 0.09, 0.09, 0, 0, 18, -1, -2
9, 2.04, 0.17, 0.12, 0, 0, 17, -1, -2
8, 0.63, 0.17, 0.16, 12, 0, 13, 0, -2
7, 1.24, 0.1, 0.07, 10, 0, 11, 0, -2
6, 2.23, 0.1, 0.08399999999999999, 0, 0, 16, -1, -2
5, 3.8, 0.13, 0.09, 0, 0, 15, -1, -2
4, 3.17, 0.17, 0.17, 8, 0, 9, 0, -2
3, 5.46, 0.09, 0.07, 0, 0, 14, -1, -2
2, 0.44, 0.13, 0.13, 4, 0, 5, 0, -2
1, 5.36, 0.1, 0.1, 6, 0, 7, 0, -2
0, 0.5, 0.17, 0.135, 1, 2, 3, 0, -2
